,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
708,0.00177,86.18007539
709,0.00178,86.31371839
710,0.00179,86.45715293
711,0.0018,86.60393793
712,0.00181,86.73602951
713,0.00182,86.87966294
714,0.00183,87.01419115
715,0.00184,87.15196349
716,0.00185,87.29116109
717,0.00186,87.4197346
718,0.00187,87.5591957
719,0.00188,87.69330007
720,0.00189,87.83135825
721,0.0019,87.96628948
722,0.00191,88.10053893
723,0.00192,88.2341506
724,0.00193,88.37263973
725,0.00194,88.51248044
726,0.00195,88.64244092
727,0.00196,88.7764678
728,0.00197,88.90661738
729,0.00198,89.0427479
730,0.002,89.18003681
731,0.002,89.31666575
732,0.00201,89.447269
733,0.00202,89.58139201
734,0.00204,89.73412274
735,0.00204,89.86818389
736,0.00206,89.99424855
737,0.00207,90.12944139
738,0.00208,90.26197381
739,0.00209,90.3933881
740,0.0021,90.52566219
741,0.00211,90.66269151
742,0.00212,90.79143387
743,0.00213,90.93029509
744,0.00214,91.06441108
745,0.00215,91.20119567
746,0.00216,91.33949097
747,0.00217,91.47037618
748,0.00218,91.5977708
749,0.00219,91.72592099
750,0.0022,91.85363723
751,0.00221,91.99269765
752,0.00222,92.12674631
753,0.00223,92.25915808
754,0.00224,92.39200832
755,0.00225,92.51782754
756,0.00226,92.64775829
757,0.00227,92.77652291
758,0.00228,92.89967866
759,0.00229,93.0253296
760,0.0023,93.15382907
761,0.00231,93.27816018
762,0.00232,93.40515522
763,0.00233,93.53597359
764,0.00234,93.6645329
765,0.00235,93.7931901
766,0.00236,93.92313105
767,0.00237,94.05176648
768,0.00238,94.17826122
769,0.0024,94.30410009
770,0.00241,94.4257872
771,0.00242,94.54443041
772,0.00243,94.67339253
773,0.00244,94.79948627
774,0.00245,94.93228164
775,0.00246,95.06184709
776,0.00247,95.1908832
777,0.00248,95.32021026
778,0.00249,95.45683723
779,0.0025,95.58756568
780,0.00251,95.71157143
781,0.00252,95.84087864
782,0.00253,95.96886727
783,0.00254,96.0960997
784,0.00255,96.23108318
785,0.00256,96.3594274
786,0.00257,96.49086835
787,0.00258,96.63214959
788,0.00259,96.76518796
789,0.0026,96.89859018
790,0.00261,97.02711208
791,0.00262,97.15814665
792,0.00262,97.29497472
793,0.00264,97.41904606
794,0.00265,97.53971597
795,0.00266,97.67080956
796,0.00267,97.80941082
797,0.00268,97.94406334
798,0.00269,98.08540694
799,0.0027,98.22203268
800,0.00271,98.34882684
801,0.00272,98.48328765
802,0.00273,98.62469311
803,0.00274,98.75459955
804,0.00275,98.88954641
805,0.00276,99.0182761
806,0.00277,99.15167863
807,0.00278,99.29038441
808,0.00279,99.43408485
809,0.00281,99.5719774
810,0.00282,99.70585798
811,0.00283,99.82921603
812,0.00284,99.95965715
813,0.00285,100.0899643
814,0.00286,100.2229835
815,0.00287,100.3573174
816,0.00288,100.4948942
817,0.00289,100.6299349
818,0.0029,100.7715442
819,0.00291,100.9048742
820,0.00292,101.0343704
821,0.00293,101.1770639
822,0.00294,101.3106863
823,0.00295,101.4413987
824,0.00296,101.5727211
825,0.00297,101.7079778
826,0.00298,101.8470749
827,0.00299,101.9849416
828,0.003,102.1145888
829,0.00301,102.2527817
830,0.00302,102.3857426
831,0.00303,102.5306602
832,0.00304,102.6694461
833,0.00305,102.806654
834,0.00306,102.9398219
835,0.00307,103.0747241
836,0.00308,103.2146566
837,0.00309,103.3495765
838,0.0031,103.4835723
839,0.00311,103.6214795
840,0.00312,103.7634513
841,0.00313,103.909852
842,0.00314,104.0507433
843,0.00315,104.1872207
844,0.00316,104.321889
845,0.00317,104.4559014
846,0.00319,104.5934955
847,0.00319,104.7245523
848,0.00321,104.8575444
849,0.00322,104.9904013
850,0.00323,105.1247541
851,0.00324,105.2598585
852,0.00325,105.3862185
853,0.00326,105.5225675
854,0.00327,105.650503
855,0.00328,105.7751061
856,0.00329,105.8997361
857,0.0033,106.0260099
858,0.00331,106.1441465
859,0.00332,106.2656465
860,0.00333,106.397821
861,0.00334,106.5157582
862,0.00335,106.6402369
863,0.00336,106.7589953
864,0.00337,106.8750674
865,0.00338,107.0076149
866,0.00339,107.1257571
867,0.0034,107.2400124
868,0.00341,107.3566629
869,0.00342,107.4672739
870,0.00343,107.595107
871,0.00344,107.7149471
872,0.00345,107.8217633
873,0.00346,107.9413739
874,0.00347,108.0518772
875,0.00348,108.1669514
876,0.00349,108.2822988
877,0.0035,108.3917221
878,0.00351,108.5000128
879,0.00352,108.6084466
880,0.00353,108.7231473
881,0.00354,108.8312448
882,0.00355,108.9434868
883,0.00356,109.0518413
884,0.00357,109.1563452
885,0.00358,109.2645123
886,0.0036,109.3676197
887,0.0036,109.4732281
888,0.00362,109.5838
889,0.00363,109.6838198
890,0.00364,109.7878847
891,0.00365,109.8860133
892,0.00366,109.9883295
893,0.00367,110.0865618
894,0.00368,110.1859698
895,0.00369,110.2824145
896,0.0037,110.3775648
897,0.00371,110.4752725
898,0.00372,110.5695929
899,0.00373,110.6594521
900,0.00374,110.7429082
901,0.00375,110.8270966
902,0.00376,110.9143769
903,0.00377,111.0084858
904,0.00378,111.0946023
905,0.00379,111.1866178
906,0.0038,111.2693816
907,0.00381,111.3562413
908,0.00382,111.448518
909,0.00383,111.5319667
910,0.00384,111.620273
911,0.00385,111.7078956
912,0.00386,111.7980627
913,0.00387,111.8884357
914,0.00388,111.9748526
915,0.00389,112.0680249
916,0.003902535,112.1624065
917,0.003912495,112.2512056
918,0.00392234,112.3490504
919,0.003933657,112.4363708
920,0.003943513,112.5228496
921,0.003953892,112.6178002
922,0.003963098,112.7056291
923,0.003974635,112.7903791
924,0.003984114,112.8874466
925,0.003993634,112.972737
926,0.004005305,113.0588423
927,0.004015299,113.1505217
928,0.004025305,113.2348075
929,0.004034795,113.3263766
930,0.004045843,113.4082416
931,0.004055764,113.4967955
932,0.00406645,113.5938145
933,0.004077112,113.6785832
934,0.00408665,113.7724428
935,0.004096072,113.8640286
936,0.004107072,113.943211
937,0.00411617,114.0298702
938,0.004127623,114.1188517
939,0.004139152,114.209045
940,0.004148367,114.2932421
941,0.004158586,114.3744863
942,0.004168551,114.4567063
943,0.004179783,114.5459101
944,0.004188563,114.6356622
945,0.004198499,114.7111574
946,0.004210021,114.8040887
947,0.004220644,114.8846163
948,0.004229986,114.9561155
949,0.004241044,115.0486941
950,0.004248943,115.1321554
951,0.00426028,115.213452
952,0.004271863,115.3036313
953,0.0042811,115.3857308
954,0.004290729,115.4736621
955,0.004301138,115.5608007
956,0.004312227,115.6458462
957,0.004322692,115.7360558
958,0.004332403,115.8205019
959,0.004342324,115.9122256
960,0.00435399,116.003007
961,0.004362246,116.0935824
