,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
549,0.000155137,27.8228931
550,0.000158019,27.7932065
551,0.000159716,27.76498725
552,0.000162455,27.64267637
553,0.000165752,27.60928933
554,0.000169198,27.49270098
555,0.000168769,27.52943069
556,0.000173444,27.54924542
557,0.000177037,27.57657178
558,0.000178368,27.48812305
559,0.000181339,27.52998655
560,0.000185269,27.50931205
561,0.000187031,27.51714586
562,0.000189877,27.5515014
563,0.000191707,27.53965316
564,0.000194083,27.55066362
565,0.000196458,27.55545572
566,0.000198477,27.60080492
567,0.000201731,27.71151639
568,0.000205265,27.61877979
569,0.000207177,27.65364791
570,0.000209703,27.71218202
571,0.000212754,27.67564546
572,0.000214864,27.73979276
573,0.00021715,27.75041125
574,0.000219759,27.77342627
575,0.000223078,27.77948894
576,0.000226244,27.80269737
577,0.000226587,27.78567311
578,0.000230162,27.91878315
579,0.000232389,27.93035323
580,0.000235519,27.95546842
581,0.000237515,27.93896766
582,0.000240566,27.93912338
583,0.000242502,28.03633478
584,0.000244914,28.02635923
585,0.00024891,28.0471058
586,0.000252082,27.98560675
587,0.00025333,28.0160358
588,0.000255679,28.02121009
589,0.00025697,28.06701428
590,0.00026202,28.07926046
591,0.000263176,28.16454516
592,0.000266,28.15413441
593,0.00026903,28.09618402
594,0.000272172,28.15949225
595,0.000274436,28.18653416
596,0.000275503,28.22062729
597,0.000278551,28.19222126
598,0.000281203,28.19700829
599,0.000284396,28.22114007
600,0.000286743,28.24523313
601,0.000289684,28.26029012
602,0.000292044,28.24157577
603,0.000294053,28.31464494
604,0.000297333,28.27609079
605,0.000299961,28.33185851
606,0.000302741,28.3526997
607,0.00030443,28.37376602
608,0.000308039,28.40752523
609,0.00031005,28.49013812
610,0.000313374,28.42664393
611,0.000314565,28.51036049
612,0.000318392,28.57984271
613,0.000320514,28.61465967
614,0.000322632,28.55031507
615,0.00032711,28.60069609
616,0.000326923,28.59274084
617,0.000331008,28.63740613
618,0.000332389,28.67402176
619,0.000337561,28.69516307
620,0.000338814,28.72886953
621,0.000341108,28.74390546
622,0.000342692,28.6999988
623,0.000348297,28.81288199
624,0.000348751,28.84354145
625,0.000352078,28.84129417
626,0.000353039,28.89609608
627,0.000358324,28.87013525
628,0.000358922,28.90349747
629,0.000361398,28.89646649
630,0.000364481,29.02110691
631,0.000367569,29.36400843
632,0.000369469,29.4484893
633,0.000371366,29.47787581
634,0.000374252,29.48729765
635,0.000376037,29.51175315
636,0.000380378,29.54700561
637,0.000382278,29.61504304
638,0.000384727,29.606787
639,0.000387448,29.58606808
640,0.000390593,29.56134874
641,0.00039226,29.56129669
642,0.00039619,29.61978012
643,0.000397976,29.58250884
644,0.000400277,29.60654893
645,0.000402643,29.64694067
646,0.000405131,29.62315537
647,0.000407292,29.67941331
648,0.00041007,29.67912636
649,0.000413115,29.67393256
650,0.00041496,29.66936697
651,0.000417804,29.75737503
652,0.00042053,29.73225395
653,0.000423497,29.71332081
654,0.000426847,29.75357062
655,0.000429131,29.74466374
656,0.000432263,29.74481654
657,0.000433406,29.78992767
658,0.000435937,29.84785496
659,0.000439409,29.85581154
660,0.000441239,29.87710495
661,0.000443899,29.89965898
662,0.000445398,29.8768427
663,0.000448564,29.85823712
664,0.000454151,29.91378895
665,0.000454163,29.91509885
666,0.000456173,29.96503554
667,0.000458416,29.97955643
668,0.000462293,30.009915
669,0.000464491,30.01654721
670,0.000465732,30.10156656
671,0.000469772,30.02682577
672,0.000473239,30.07544426
673,0.000475095,30.15328739
674,0.000476543,30.15450605
675,0.000480949,30.09345041
676,0.000482151,30.13775824
677,0.000485605,30.18358281
678,0.000487128,30.18004187
679,0.000489545,30.17865325
680,0.000493525,30.20198597
681,0.000495384,30.28006217
682,0.000497939,30.20627343
683,0.000500926,30.3186085
684,0.000503123,30.39983343
685,0.000506244,30.47107608
686,0.000507416,30.52581008
687,0.000510997,30.58031638
688,0.000514036,30.59407306
689,0.000516294,30.64582303
690,0.000519017,30.58602433
691,0.000521925,30.67606477
692,0.00052357,30.64498154
693,0.000525743,30.74522629
694,0.000528074,30.7127596
695,0.000531874,30.70389608
696,0.000532948,30.73902502
697,0.000534768,30.73550255
698,0.000539777,30.72675583
699,0.000541595,30.74609931
700,0.000544377,30.76083281
701,0.000547434,30.75797631
702,0.000550268,30.7951151
703,0.000551816,30.79971969
704,0.000553909,30.81309946
705,0.000556421,30.83040809
706,0.000560137,30.8807154
707,0.000561343,30.86196119
708,0.000565204,30.88916186
709,0.000567637,30.8673395
710,0.00056978,30.92382767
711,0.000573154,30.89902459
712,0.000574521,30.97607101
713,0.00057861,30.98512232
714,0.000579111,30.96168516
715,0.00058144,31.00427311
716,0.00058351,31.02473658
717,0.00058688,31.0346929
718,0.00059134,31.04452011
719,0.00059217,31.07840209
720,0.00059635,31.03961214
721,0.000599451,31.08861733
722,0.00060123,31.13137017
723,0.000603462,31.14902371
724,0.000605507,31.19501376
725,0.000607919,31.26020772
726,0.000611567,31.29403796
727,0.000615309,31.32690699
728,0.000616635,31.34992769
729,0.000619265,31.39152135
730,0.000621614,31.4382833
731,0.000624454,31.44335756
732,0.000625564,31.45888622
733,0.000630828,31.47810867
734,0.000631344,31.53944529
735,0.000633426,31.4666605
736,0.00063707,31.48671901
737,0.00063949,31.55182172
738,0.00064144,31.56457066
739,0.000643975,31.56708517
740,0.000647549,31.56595759
741,0.000650075,31.56531494
742,0.00065247,31.59082566
743,0.000655393,31.58519588
744,0.000656787,31.62467255
745,0.000659685,31.65104003
746,0.000662134,31.63498533
747,0.000664732,31.66696486
748,0.000666321,31.76286988
749,0.000669841,31.7623033
750,0.000672948,31.79566043
751,0.000675233,31.7548378
752,0.000675875,31.77140246
753,0.000680913,31.80237335
754,0.000682335,31.79468976
755,0.000684967,31.87344746
756,0.000688683,31.87223556
757,0.000690076,31.91200065
758,0.000692382,31.91426215
759,0.000694662,31.94670459
760,0.000698792,31.94696616
761,0.000699318,31.98045048
762,0.000702394,31.97302196
763,0.000705495,32.06210823
764,0.000707734,32.06644072
765,0.000709201,32.1232613
766,0.000712903,32.13535817
767,0.000715034,32.22455253
768,0.000719156,32.1956543
769,0.000720851,32.30761461
770,0.000724932,32.37790411
771,0.000726234,32.41698732
772,0.000728686,32.42613604
773,0.000730679,32.49229328
774,0.000732978,32.54300467
775,0.000736827,32.59935529
776,0.000739601,32.58834752
777,0.000741979,32.64844206
778,0.000742919,32.66633999
779,0.000747585,32.70705363
780,0.000748704,32.74892547
781,0.000751902,32.79094205
782,0.000754764,32.80330837
783,0.0007559,32.88475648
784,0.000760139,32.89248794
785,0.000762467,32.91279151
786,0.00076529,32.92673454
787,0.000767786,33.01343734
788,0.000769513,33.00127227
789,0.000773175,33.01350222
790,0.000774727,33.04389326
791,0.000776005,33.01101584
792,0.000778853,33.17155073
793,0.000782081,33.21584658
794,0.000784842,33.2260703
795,0.00078703,33.28222796
796,0.000788789,33.22554156
797,0.000793242,33.20074401
798,0.000795603,33.29212891
799,0.000797556,33.30033239
