,Time[sec],Top_Inplane_Disp[mm]
541,53.8886719,0.005132934
542,53.9882812,-0.00098516
543,54.0878906,-0.000182237
544,54.1875,0.000803032
545,54.2871094,0.000746049
546,54.3867187,0.002311591
547,54.4863281,0.000896059
548,54.5859375,0.001710617
549,54.6855469,0.003478375
550,54.7851562,0.002255441
551,54.8847656,0.002337241
552,54.984375,-0.002060865
553,55.0839844,-0.000158888
554,55.1835937,0.001249489
555,55.2832031,0.003068832
556,55.3828125,-0.002593132
557,55.4824219,0.002066749
558,55.5820312,0.000751056
559,55.6816406,0.000217872
560,55.78125,0.000112484
561,55.8808594,-0.003237025
562,55.9804687,8.06e-06
563,56.0800781,0.002919724
564,56.1796875,-0.001730556
565,56.2792969,0.003089705
566,56.3789062,0.002487946
567,56.4785156,-0.002823866
568,56.578125,0.001626655
569,56.6777344,-0.00491789
570,56.7773437,0.00228755
571,56.8769531,-0.001919145
572,56.9765625,-0.002582561
573,57.0761719,8.87e-05
574,57.1757812,-0.002116444
575,57.2753906,0.002182308
576,57.375,0.000203965
577,57.4746094,-0.001847133
578,57.5742187,-0.001432094
579,57.6738281,0.00354762
580,57.7734375,-0.002957462
581,57.8730469,-0.003219679
582,57.9726562,0.00107741
583,58.0722656,0.000342287
584,58.171875,-0.001166656
585,58.2714844,-0.001864671
586,58.3710937,0.002862703
587,58.4707031,0.000665185
588,58.5703125,0.001607787
589,58.6699219,0.00568563
590,58.7695312,0.00299931
591,58.8691406,0.003100193
592,58.96875,0.000580939
593,59.0683594,0.003630655
594,59.1679687,0.000756792
595,59.2675781,0.000453258
596,59.3671875,0.003545119
597,59.4667969,0.002793195
598,59.5664062,-0.000836066
599,59.6660156,0.003534874
600,59.765625,-0.006432376
601,59.8652344,0.004389206
602,59.9648437,0.00058532
603,60.0644531,0.00256926
604,60.1640625,0.000612819
605,60.2636719,0.001854001
606,60.3632812,0.002370025
607,60.4628906,0.002021015
608,60.5625,-0.000413577
609,60.6621094,-0.00014957
610,60.7617187,0.006480982
611,60.8613281,-0.003699049
612,60.9609375,0.001697519
613,61.0605469,0.001485533
614,61.1601562,0.001509697
615,61.2597656,0.003527865
616,61.359375,0.000334694
617,61.4589844,0.004966032
618,61.5585937,-0.003229346
619,61.6582031,0.003641879
620,61.7578125,-0.001671519
621,61.8574219,0.004301111
622,61.9570312,0.001966641
623,62.0566406,-0.001311801
624,62.15625,-0.000370114
625,62.2558594,-0.001308966
626,62.3554687,0.002787064
627,62.4550781,0.000929003
628,62.5546875,-0.001194844
629,62.6542969,-0.001653575
630,62.7539062,0.003211877
631,62.8535156,3.87e-05
632,62.953125,0.000887755
633,63.0527344,-0.000794938
634,63.1523437,0.004256854
635,63.2519531,-6.68e-05
636,63.3515625,0.001793632
637,63.4511719,0.001415729
638,63.5507812,0.001855723
639,63.6503906,0.000108326
640,63.75,0.003447592
641,63.8496094,0.004140642
642,63.9492187,-0.002712859
643,64.0488281,0.000223025
644,64.1484375,0.001423539
645,64.2480469,0.00284366
646,64.3476562,0.002329816
647,64.4472656,0.003719388
648,64.546875,-0.002189928
649,64.6464844,0.001706481
650,64.7460937,-0.000810526
651,64.8457031,0.001888877
652,64.9453125,-0.00311875
653,65.0449219,-0.000777465
654,65.1445312,0.002085273
655,65.2441406,-0.001093914
656,65.34375,0.002759625
657,65.4433594,0.001992741
658,65.5429687,0.004152999
659,65.6425781,0.000591525
660,65.7421875,0.002108934
661,65.8417969,0.004170055
662,65.9414062,-0.00046384
663,66.0410156,0.001175938
664,66.140625,0.001068714
665,66.2402344,-0.000609975
666,66.3398437,0.002291322
667,66.4394531,0.002080099
668,66.5390625,0.000993786
669,66.6386719,-0.002277837
670,66.7382812,-0.00121123
671,66.8378906,-0.001062045
672,66.9375,-0.000282244
673,67.0371094,-0.002536868
674,67.1367187,0.003895924
675,67.2363281,-0.002121591
676,67.3359375,0.003350097
677,67.4355469,0.001087187
678,67.5351562,0.003014465
679,67.6347656,-0.003003234
680,67.734375,0.000321994
681,67.8339844,-0.001928087
682,67.9335937,0.000533932
683,68.0332031,0.003173448
684,68.1328125,-0.000950311
685,68.2324219,-0.000899803
686,68.3320312,-0.000144894
687,68.4316406,0.001627115
688,68.53125,-0.000379758
689,68.6308594,0.000875
690,68.7304687,-0.000595736
691,68.8300781,0.005240762
692,68.9296875,-0.001668276
693,69.0292969,0.003170799
694,69.1289062,0.002427674
695,69.2285156,0.001849935
696,69.328125,0.0011441
697,69.4277344,-0.003917319
698,69.5273437,0.009949762
699,69.6269531,0.000420464
700,69.7265625,0.003318463
701,69.8261719,-0.000361994
702,69.9257812,0.003646371
703,70.0253906,-0.004564943
704,70.125,0.00249503
705,70.2246094,0.001798145
706,70.3242187,-0.00193384
707,70.4238281,-0.001380147
708,70.5234375,0.002474627
709,70.6230469,-0.004127053
710,70.7226562,0.005235357
711,70.8222656,0.002371171
712,70.921875,0.000845012
713,71.0214844,0.000159006
714,71.1210937,0.001479595
715,71.2207031,0.004000095
716,71.3203125,-0.002538083
717,71.4199219,0.004633601
718,71.5195312,-0.000413582
719,71.6191406,-0.000116141
720,71.71875,-0.004824404
721,71.8183594,0.002459064
722,71.9179687,-0.001874804
723,72.0175781,-0.001299813
724,72.1171875,0.007011254
725,72.2167969,0.000114928
726,72.3164062,0.00507329
727,72.4160156,-0.000915366
728,72.515625,0.003292125
729,72.6152344,0.003278465
730,72.7148437,0.001550004
731,72.8144531,0.000821455
732,72.9140625,-0.002559703
733,73.0136719,0.002242515
734,73.1132812,0.001268921
735,73.2128906,-0.000389137
736,73.3125,0.000807832
737,73.4121094,0.003799004
738,73.5117187,8.66e-05
739,73.6113281,0.008513291
740,73.7109375,-0.000723891
741,73.8105469,0.007965821
742,73.9101562,0.003226701
743,74.0097656,0.002332876
744,74.109375,-0.002582705
745,74.2089844,-0.001160575
746,74.3085937,-0.000748494
747,74.4082031,0.002043822
748,74.5078125,0.000582662
749,74.6074219,0.004883384
750,74.7070312,0.00250635
751,74.8066406,0.002042265
752,74.90625,0.003415116
753,75.0058594,0.002200194
754,75.1054687,0.003461211
755,75.2050781,0.001672296
756,75.3046875,0.003645569
757,75.4042969,-0.001421555
758,75.5039062,0.006468931
759,75.6035156,-0.002623899
760,75.703125,0.00193558
761,75.8027344,-0.001392822
762,75.9023437,0.006056638
763,76.0019531,-0.000499265
764,76.1015625,0.002607772
765,76.2011719,-0.000546421
766,76.3007812,-0.001712735
767,76.4003906,0.005948879
768,76.5,0.001280786
769,76.5996094,0.002093481
770,76.6992187,0.004314506
771,76.7988281,0.005855295
772,76.8984375,0.001038777
773,76.9980469,-0.002393961
774,77.0976562,-0.000580629
775,77.1972656,-0.000474876
776,77.296875,0.001115499
777,77.3964844,-0.001645522
778,77.4960937,0.004473745
779,77.5957031,0.000654242
780,77.6953125,0.002308346
781,77.7949219,0.003089701
782,77.8945312,0.00706719
783,77.9941406,-0.001647837
784,78.09375,0.004785625
785,78.1933594,0.003308798
786,78.2929687,-0.004102715
787,78.3925781,0.002271024
